latitude	longitude	altitude (m)	
32.95916667	-80.18116667	6.8	
29.87483333	-85.2085	1.2	
32.86183333	-114.4326667	78.8	
34.54	-84.168	518.9	
49.5	-110.5	1106.6	
50.74866667	-3.282833333	64.1	
48.59	21.84	101	
25.79483333	-108.99	13	
41.67633333	-72.745	46.5	
26.68866667	-82.02866667	2.4	
46.15166667	-122.98	2.1	
39.16066667	-76.62883333	17.9	
43.552	-79.67383333	132.9	
37.60116667	-77.57666667	72.2	
28.2605	-81.14433333	21	
32.12383333	-107.7688333	1296.2	
30.65916667	-98.47383333	273	
40.44083333	-111.7991667	1481.6	
45.54133333	-123.132	68.2	
39.28033333	-81.54083333	205.2	
39.89533333	-83.453	317.9	
41.22616667	-85.8395	247.7	
46.82533333	-96.79633333	275.4	
41.46083333	-74.812	388.4	
48.295	16.55183333	153.8	
63.67083333	22.712	8	
63.8125	23.14966667	10	
50.85883333	3.431666667	14.4	
52.49966667	4.7475	0.4	
57.7825	12.24916667	87	
40.5	-88.48	259.2	
36.624	-116.019	1005.6	
48.31	-106	838.8	
40.72	-77.93	373	
43.73	-96.62	475.8	
40.125	-105.237	1685.7	
53.05916667	4.801333333	0.4	
42.74583333	9.444166667	98	
42.72916667	0	1802	
49.4225	-94.08333333	353.1	
44.92866667	-71.46133333	429.7	
42.90416667	-71.5575	79.9	
43.15016667	-77.49016667	141.6	
30.1795	-81.58833333	7.3	
36.47533333	-97.422	297	
38.3495	-121.9688333	40	
43.542	-116.8096667	703.2	
30.36716667	-89.2195	4.9	
42.75633333	-72.27033333	330.6	
41.70166667	-70.76083333	4.1	
40.19866667	-76.20616667	122.4	
41.21583333	-75.60166667	553.5	
39.43083333	-119.8045	1459.3	
40.54	-104.7838333	1488.6	
30.028	-90.0565	1.1	
28.4655	-81.7635	39.8	
41.732	-87.84633333	213.5	
40.29783333	-76.5755	146.4	
32.31783333	-106.8216667	1189.3	
39.92	-76.748	120.4	
-37.86383333	176.4905	48	
-36.85616667	174.8528333	37.8	
-43.49033333	172.6855	7.9	
-33.92866667	18.86533333	120.6	
29.985	-97.30333333	136.5	
31.2655	-81.482	4.8	
43.90366667	-69.86416667	20.9	
49.8145	9.657	254.6	
45.45666667	-67.118	126.3	
34.553	-118.083	837.3	
34.55	-118.0666667	831.8	
30.18116667	-97.86116667	233.1	
65.10116667	25.4045	9.4	
38.03316667	-121.3473333	3	
30.54866667	-97.62616667	216.5	
42.562	-70.85	13.9	
40.87216667	-74.60416667	270.1	
42.7245	-71.558	58.8	
38.16883333	-85.79783333	153.7	
45.90166667	-93.85033333	390.6	
40.094	-76.35683333	108.8	
36.9245	-76.19116667	0.8	
52.44316667	4.819833333	2	
41.15866667	-96.19216667	374.2	
40.4375	-74.39	42	
40.07366667	-76.3855	178.8	
58.25616667	7.979166667	137.6	
43.53366667	-116.53	776.2	
33.78383333	-78.955	11.8	
31.76916667	35.202	740.4	
43.4	-84.5	222.9	
39.01616667	-121.0436667	500.5	
39.01616667	-121.0435	503.1	
47.20466667	-120.9758333	645.2	
44.11716667	-115.9888333	1046.9	
35.7645	-79.08333333	139.6	
34.2335	-118.2243333	656.3	
28.6845	-81.46616667	34.8	
51.12833333	5.656666667	38	
37.66716667	-122.4891667	149.1	
35.14633333	-118.4986667	1182.8	
36.23466667	-86.382	187	
51	0.8	2.3	
50.502	-104.6605	580.9	
47.22916667	-122.2603333	139.5	
51.96383333	6.509666667	26	
51.233	4.383333333	7.8	
42.26833333	-94.743	374.9	
44.31116667	10.76583333	757	
44.71233333	-93.463	291.1	
48.81166667	2.276333333	85.4	
48.5125	-110.9636667	955	
40.111	-74.1435	14	
